company,position,q,a
서울보증보험(주),신입 금융사무,"Q1. 직장을 선택하는 본인만의 기준을 적고, 그 이유와 함께 SGI서울보증에 지원한 동기를 기술하여 주시기 바랍니다. 보기","""사회적 영향력"" 자발성에서 기인한 행동은 타의에 의한 행동에 비해 효율적일 수밖에 없습니다. 이러한 자발성을 발현시키는 것이 바로 기업의 '사회적 영향력'입니다. 저의 업무의 결과가 사회적으로 영향력이 있어 가까이에서 확인할 수 있다면, 업무에 대한 자발성과 책임감을 심어주어 일의 효율이 증대될 것입니다. ""혁신적 마인드"" 빠르게 변화하는 시대에 유연하게 적응하고 대처하기 위해 중요한 것은 '혁신적 마인드'입니다. 시대가 변함에 따라 고객의 니즈 역시 변화하기 때문에, 이를 파악하고 충족시킴으로써 트렌드를 선도하는 능력이야말로 기업의 성장 가능성을 보여주는 최고의 지표 중 하나라고 생각합니다. 다양한 분야에서의 혁신을 통해 국내뿐 아니라 글로벌 금융에서도 선도적 결과를 보여주고 있는 SGI서울보증은 위의 두 기준에 있어 최고의 직장임을 확신하여 지원하게 되었습니다. 향후 입사하여 저의 역량인 '자발성 탐구 의지'에 기반한 다양한 데이터 분석 경험을 바탕으로 트렌드에 따라가는 것이 아닌, 'Data' 기반의 사고와 인사이트 도출을 통해 트렌드를 선도하여 '고객과 함께 성장하는 Best 신용 파트너'로서의 역할을 충실히 수행할 수 있도록 노력하겠습니다. 글자수 605 자 1,033 Byte"
서울보증보험(주),신입 금융사무,"Q2. 타인과의 협업 경험 중 가장 의미 있었던 사례를 제시하고, 그 과정에서 본인이 노력한 부분과 그 경험이 본인의 가치관 형성에 미친 영향에 대하여 기술하여 주시기 바랍니다. 보기","""통계청 재능기부단"" 초 중 고등학교 학생들이 통계에 흥미를 느낄 수 있도록 통계 교육을 제공하는 재능 기부 활동을 한 경험이 있습니다. 저는 기존의 수업 방식의 효율성에 대한 의심을 시작으로 가이드라인과 다소 다른 수업 방식인 조별 Project을 제안하였고, 서로에 대한 신뢰를 바탕으로 각각 전문가가 되어 흥미롭고도 정확한 수업을 위해 노력하였습니다. 그 결과 학생들이 수업 후 찾아와 질문을 하는 등 궁극적 목표였던 '통계에 대한 흥미'를 이뤄내었습니다. ""의심과 신뢰의 융합"" 타인과의 협업 과정에서 가장 중요한 가치는 '자신에 대한 끊임없는 의심' 과 '조직원에 대한 신뢰'의 융합임을 배웠습니다. 우선, 협업에서 개개인의 능력은 필수 요소인 만큼 자신의 실력에 대한 끊임없는 의심을 통해 지속적 자기 계발로 해당 분야의 전문가로 성장하기 위한 노력이 필요합니다. 이러한 의심과 함께 타 조직원들은 '자신에 대한 끊임없는 의심으로 성장한 전문가'라는 신뢰가 필요합니다. 끊임없이 성장하는 전문가들이 서로를 믿고 각자의 위치에서 궁극적 목표를 위해 행동하는 것이야말로 빠르게 변화하는 사회에 유연하고 창의적으로 대응할 수 있는 협업 방법임을 배웠습니다. 글자수 603 자 1,029 Byte"
서울보증보험(주),신입 금융사무,"Q3. 본인이 자신 있게 내세울 수 있는 역량은 무엇이며, 이러한 역량을 갖추기 위해 노력한 과정과 동 역량이 SGI서울보증의 어떠한 업무에 기여할 수 있는지 기술하여 주시기 바랍니다. 보기","""데이터를 이해하는 능력"" 통계 학도로서 분석에 필요한 통계, 수학적 이론학습에 대한 중요성을 항상 내재하며 이를 소홀히 하지 않았습니다. 또한 대량의 데이터를 다루기 위해서 SQL의 활용이 필수적이라는 것을 깨닫고, SQLD를 취득하는 등 논리적 사고와 증명을 통한 이론적 통계 학습으로 분석의 이유와 방향성을 잃지 않기 위해 끊임없이 노력하였습니다. ""데이터를 처리하는 능력"" 현대사회에서 데이터는 다양한 모습으로 존재하고 있습니다. 저는 다양한 데이터를 다루어보기 위해 다양한 경험을 축적하였습니다. 이미지 데이터 처리를 위해 `CNN classifier를 이용한 의류의 타입 구분` 보고서를 작성하였고, 언어 데이터 처리를 위해 'ATM, DTM을 이용한 카카오톡 대화 내용 분석', 게임 데이터 처리를 위한 'League of Legend에서 승리하려면? 프로젝트' 그리고 지리 정보 처리를 위해 '오산시 어린이 교통사고 위험지역 도출 공모전'에 참여하였습니다. 데이터를 이해하고 처리하는 경험을 통해 데이터 전처리와 변수 이해의 중요성을 배웠습니다. 이를 바탕으로 입사 후 데이터 기반 사고로 고객의 니즈를 정확히 파악하여 기업혁신에 기여하기 위해 노력하겠습니다. 글자수 611 자 1,015 Byte"
서울보증보험(주),신입 금융사무,Q4. 국내외 금융사들은 '비대면 금융소비 일상화'에 대응해 Digital Transformation(디지털 전환)에 속도를 내고 있습니다. 이와 같은 경영 환경에서 SGI서울보증이 추구해야 할 방향 또는 대응 방안을 기술하여 주시기 바랍니다. 보기,"""디지털 금융 소외 문제 해결"" 최근 신종 코로나바이러스로 인해 언택트 시대가 되어가는 현 사회에서 '중소기업과 서민의 따뜻한 동반자'의 역할을 위해 가장 먼저 해결해야 하는 것이 바로 '고령층 디지털 금융소외 문제'입니다. kiri 보험연구원 이슈 분석에 의하면, 2019년 50대 이상의 디지털정보화 수준은 20대와 30대의 절반 수준에 불과합니다. 언택트 시대가 도래하면 도래할수록 디지털정보화 수준의 격차는 고령층의 디지털 금융소외 문제를 야기할 수밖에 없기 때문에, 이를 해결하기 위한 움직임이 필요합니다. ""테크핀을 활용한 간소화"" 디지털 금융소외의 원인은 주로 '복잡함과 어려움'입니다. 기술과 데이터를 기반으로 고객에게 혁신적인 금융 서비스를 제공하는 테크핀을 활용하여, 고령층 고객분들께도 익숙하며 테크핀 영역에서 강세를 보이고 있는 네이버, 카카오 등을 활용하여 더 저렴하고 빠르게 서비스를 이용할 수 있도록 하여 접근성을 강화하여야 합니다. 결국 디지털 전환을 위해 가장 필요한 것은 바로 정확하고 올바른 데이터 분석입니다. 양질의 데이터 분석을 통해 소비자의 니즈를 파악하여야만 모든 고객들의 비대면 금융소비 일반화에 대응할 수 있다고 생각합니다. 글자수 609 자 1,038 Byte"
근로복지공단,신입 금융사무,Q1. 직업 선택할 때 가장 중요하게 생각하는 기준은 무엇이며 근로복지공단을 지원한 동기와 결부시켜 기술해 주십시오. (500자) 보기,직업 선택에서 가장 중요하게 생각하는 기준은 큰 가치를 창출할 수 있는 일인가 여부입니다. 단순히 조직만의 이익에 그치지 않고 사회 전체 혜택으로 연결될 수 있는 일에 큰 보람이 있을 것으로 생각합니다. OOOOOO 근무에서 퇴직연금과 일자리안정자금 업무를 수행하며 작은 부분이지만 사회 효용 증진에 기여할 수 있는 일을 수행했던 경험은 공공기관의 업무에 큰 매력을 느끼게 되었습니다. 그리고 퇴직연금과 대부사업을 비롯한 다양한 지원사업들이 가장 복지의 혜택이 절실한 근로자 들을 대상으로 한다는 점에서 가치관에 부합한 일을 할 수 있을 것이라 생각하였습니다. 근로자의 생활에 직접적인 도움을 줄 수 있는 근로복지공단의 사업은 사회에 꼭 필요한 부분으로 큰 가치를 창출할 수 있는 일이라 생각합니다. 신성한 근로의 의무를 수행하는 근로자들의 동반자인 근로복지공단의 일원으로서 선한 영향력을 발휘하여 사회적 가치를 창출에 기여하겠습니다. 글자수 472 자 817 Byte
근로복지공단,신입 금융사무,"Q2. 지원한 직무에 전문성을 갖추기 위하여 어떠한 노력을 기울였으며, 그 결과 타인과 차별화된 본인만의 역량은 무엇인지 기술해 주십시오. (500자) 보기","근로자 지원사업을 설명하고 상담해야 하므로 업무에 대한 이해를 바탕으로 고객의 눈높이에서 업무를 수행하는 것이 중요하다고 생각합니다. 근로복지공단의 업무 경험과 문제해결 능력을 통해 필요한 역량을 갖출 수 있었습니다. 첫 번째 OOOOOO의 업무 경험입니다. OOOOOO에서 퇴직연금 가입 사업장 및 근로자 관리, 고객 상담 업무를 맡으며 연금 상품에 대한 이해와 고객 민원 처리 기법을 익힐 수 있었습니다. 특히 퇴직연금의 가입부터 고객 관리까지 전반적인 업무를 담당하며 OOOOOO의 업무에 대한 이해도를 높일 수 있었습니다. 두 번째 문제해결 능력입니다. 금융기관 현장실습에서 기본적인 ATM 사용법을 몰라 간단한 업무처리에 기다리는 고객이 많다는 것을 발견했습니다. 이에 ATM 이용법을 안내한다면 고객 불만과 창구의 부담을 줄일 수 있을 것이라 판단해, 사용법에 대해 설명하는 일을 시작했습니다. 결과적으로 고객 대기시간 감소로 고객 만족도와 실적도 향상되었습니다. 글자수 491 자 834 Byte"
근로복지공단,신입 금융사무,Q3. 예상치 못했던 어려운 상황에서 문제점을 분석하여 해결방안을 제시하였던 경험에 대해 기술해 주십시오. (500자) 보기,"모두가 참여할 수 있는 분위기 조성으로 문제 해결과 성과를 창출할 수 있었습니다. 매년 타 학교들과 연합 전시회에서 많은 수상을 위해 회원들의 사진 중 일부 회원의 사진을 선별하여 전시회에 출품했습니다. 하지만 이러한 관행은 사진이 선별되지 못한 회원들의 행사 참여도를 저하시켜 준비에 어려움을 겪었습니다. 이러한 문제는 행사 준비에 모든 회원이 주인 의식을 가지지 못하기 때문이라 생각하게 되었습니다. 이에 임원단 회의에서 최대한 많은 회원의 사진을 전시하기 위해 인당 최대 2장 이상 선별하지 않도록 규정을 정했습니다. 그리고 매달 1회 진행하던 정기 출사를 2회로 늘리고 강좌도 개설하였습니다. 모두가 참여할 수 있도록 한 변화는 동아리 행사에 대한 참여도를 높였고, 전시회 준비 과정에서 모두의 적극적인 참여를 유도하여 회원들의 행사 만족도를 높이고 친목을 다질 수 있었습니다. 또한 이후 회원들이 꾸준히 애정을 갖고 동아리 활동에 참여하는 분위기를 만들 수 있었습니다. 글자수 493 자 852 Byte"
근로복지공단,신입 금융사무,Q4. 학교나 회사와 같은 조직에서 적극적 소통을 통해 갈등관계에 있던 상대방으로부터 협력을 이끌어낸 경험에 대해 기술해 주십시오. (500자) 보기,"객관적인 근거를 바탕으로 한 설득과 적절한 의견 수용을 통해 협력을 이끌어 낸 경험이 있습니다. 금융 소외 계층을 위한 교육을 진행하게 되었고 지적 장애가 있는 학생들에게 쉽게 다가갈 수 있는 교육 프로그램을 기획하게 되었습니다. 기획을 담당한 조에서는 강의식 수업을 제안했습니다. 하지만 장애 학생에게 강의식 수업은 어려움이 있다고 판단했습니다. 이에 해당 학교 선생님에게 조언을 요청하여 체험 프로그램이 학생들에게 적절할 것이라는 조언을 받았습니다. 조언을 바탕으로 학생들이 직접 참여할 수 있는 프로그램이 적합할 것으로 판단하여, 기존에 좋은 반응을 얻어온 은행 체험 프로그램을 활용할 것을 제안했습니다. 이후 다시 팀원들과 논의하여 검증된 교육이 좋을 것이라는 결론을 얻었습니다. 그리고 프로그램 효율을 높이기 위한 사전 교육으로 강의식 수업을 활용하였습니다. 객관적인 근거와 다른 의견에 대한 적절한 수용을 통해 다른 의견을 가졌던 팀원의 자발적인 협력을 이끌어 낼 수 있었습니다. 글자수 498 자 868 Byte"
근로복지공단,신입 금융사무,"Q5. 본인의 삶에서 가장 중요하게 여기는 가치는 무엇이며, 공단 직원으로서 직업윤리의 중요성을 본인의 가치관 중심으로 기술해 주십시오. (500자) 보기","중요하게 생각하는 것은 사람 사이의 신뢰입니다. 사람과의 사귐에 있어서 가장 중요한 요소이며, 한번 쌓기는 어려워도 무너지기는 쉬운 가치이기 때문입니다. 특히 공공의 이익을 최우선 가치로 하는 공공기관의 경우 사회 구성원의 신뢰가 가장 중요하다고 생각합니다. 사회보험 사업을 위한 기금운용과 관련된 일을 수행하는 근로복지공단의 경우 피보험자인 사회구성원들과의 신뢰가 가장 중요한 가치라고 생각합니다. 근로복지공단은 대부분의 국민들로부터 자산을 받아 운용하는 업무를 수행한다는 점에서 국민과의 장기적이고 단단한 신뢰가 더욱 필수적으로 강조되어야 할 직업윤리라고 생각합니다. 이러한 가치는 정직하고 공정한 일 처리를 통해 달성할 수 있다고 생각합니다. 원칙에 충실하고 고객의 눈높이에 맞는 근로복지공단의 업무 수행을 통해 고객과의 깊은 신뢰를 형성할 수 있을 것입니다. 장기적인 신뢰 관계 구축을 통해 미래의 행복할 권리를 지켜주는 희망 버팀목이라는 미션을 완수할 수 있을 것입니다. 글자수 495 자 868 Byte"
기술보증기금,신입 금융사무,"Q1. 기술보증기금의 인재상은 이공계, 상경계, 법학적 직무 역량을 갖춘 융합형 인재입니다. 이 중 본인이 강점을 가지고 있는 직무 역량을 한 가지 선택하고, 1)해당 직무 역량을 키우기 위해 어떤 노력을 해왔는지 본인의 경험에 기초하여 설명해 주십시오. 2)선택하지 않은 직무 역량을 어떻게 개발해 나갈 것인지 구체적으로 기술해 주십시오. (300~1,000자 이내) 보기","""상경계 직무 역량"" 제가 강점을 가지고 있는 직무 역량은 상경계 역량입니다. 저의 강점인 상경계 직무 역량은 경영학 전공에서 비롯됩니다. 대학 시절 경영학을 전공하면서 경영학 원론, 회계학, 재무론, 인사 조직 마케팅 등 다양한 경영학의 전문적인 내용을 습득했습니다. 경영학을 전공하며 자연스럽게 경제학이라는 학문도 접할 수 있었습니다. 저는 특히 재무와 회계 분야에 집중적으로 공부하였습니다. 졸업 후에는 대기업 회계팀에서 근무한 경험이 있습니다. 대기업 회계팀에서 근무하면서 회사에서 사용하는 ERP 시스템을 사용해 보았고 엑셀 등 OA 프로그램 사용능력을 키울 수 있었습니다. 이는 기술보증기금에 입사하여 저의 경쟁력이 될 수 있는 부분이라고 생각합니다. 또한 저는 국토교통부 산하 공공기관에서 청년인턴을 수행하며 지방세 업무를 수행했습니다. 청년인턴 업무를 수행하면서 지방세법, 지방세특례제한법, 종합부동산세법 등 법률에 대한 구체적인 이해를 갖출 수 있었습니다. 또한 2019년에는 세무사 자격증을 취득하였습니다. 세무사 자격증을 취득하면서 회계와 세무 분야의 전문적인 지식과 역량을 키웠습니다. 특히 세법의 법인세법, 소득세법, 부가가치세법과 재무회계 분야의 내용을 집중적으로 학습할 수 있었습니다. 세무사 시험을 준비하면서 상법과 세법학 등의 내용을 학습했습니다. 구체적으로는 상법의 상법총론 및 회사법 어음 수표법 등의 내용을 학습하였습니다. 세법학을 공부하면서 지방세법, 조세특례제한법 국세기본법 상속세 및 증여세법, 개별소비세법 등을 학습할 수 있습니다. 특히 조세특례제한법을 공부하면서 중소기업 등 사회적 약자를 위한 세법상 조문을 많이 학습할 수 있었습니다. 그러므로 저는 기본적인 법학적 소양도 갖추고 있다고 생각합니다. 또한 제가 법률에 관심이 많아 상법과 세법학뿐만 아니라 민법과 형법, 부동산등기법 등을 따로 공부했습니다. 입사 후에도 기술보증기금 업무에 필요하다고 생각하는 민법과 민사소송법, 민사집행법, 특허법, 지식재산권법, 산업재산권법, 자연과학 및 수학 등의 내용을 따로 시간을 내어 공부하겠습니다. 장기적으로는 업무에 필요한 분야에 대한 자격증 취득, 학위 취득 등을 통해 저의 업무 역량을 키워나가겠습니다. 글자수 1,101 자 1,906 Byte"
